created_at,entry_id,pm2_5,pm10,temp,trysnia,lageshtira,alarm_status
2019-09-25 00:57:02 CEST,286,6.3,16,22.4,99916,89.03,0
2019-09-25 00:57:56 CEST,287,6.3,16.2,22.4,99917,88.98,0
2019-09-25 00:58:50 CEST,288,6.3,16.5,22.4,99908,88.98,0
2019-09-25 00:59:44 CEST,289,6.3,16.2,22.4,99917,88.98,0
2019-09-25 01:00:38 CEST,290,6.3,16.4,22.4,99917,88.98,0
2019-09-25 01:01:32 CEST,291,6.2,15.5,22.4,99919,88.98,0
2019-09-25 01:02:25 CEST,292,6.2,15.6,22.4,99923,88.98,0
2019-09-25 01:03:19 CEST,293,6.2,15.1,22.4,99919,88.93,0
2019-09-25 01:04:13 CEST,294,6.2,14.8,22.4,99914,88.93,0
2019-09-25 01:05:11 CEST,295,6.3,14.9,22.4,99925,88.93,0
2019-09-25 01:06:05 CEST,296,6.2,14.5,22.4,99920,88.93,0
2019-09-25 01:06:58 CEST,297,6.2,14.1,22.4,99929,88.93,0
2019-09-25 01:07:52 CEST,298,6.2,13.6,22.4,99943,88.93,0
2019-09-25 01:08:46 CEST,299,6.2,13.8,22.4,99926,88.88,0
2019-09-25 01:09:41 CEST,300,6.2,13.7,22.4,99920,88.88,0
2019-09-26 19:37:05 CEST,301,14.7,28.3,24.3,100178,88.88,1
2019-09-26 19:38:02 CEST,302,14.8,28.4,24.3,100179,88.88,1
2019-09-26 19:38:59 CEST,303,14.8,28.7,24.3,100176,88.88,1
2019-09-26 19:39:56 CEST,304,14.8,28.2,24.3,100182,88.88,1
2019-09-26 19:40:53 CEST,305,14.6,27.6,24.3,100187,88.88,1
2019-09-26 19:41:50 CEST,306,14.6,27.6,24.4,100178,88.8,1
2019-09-26 19:42:48 CEST,307,14.7,28,24.4,100190,88.8,1
2019-09-26 19:43:44 CEST,308,14.8,28,24.4,100182,88.8,1
2019-09-26 19:44:41 CEST,309,14.7,27.8,24.3,100179,88.8,1
2019-09-26 19:45:38 CEST,310,14.7,28.1,24.3,100185,88.8,1
2019-09-26 19:46:36 CEST,311,14.7,28.7,24.3,100179,88.8,1
2019-09-26 19:47:32 CEST,312,14.7,28,24.3,100178,88.8,1
2019-09-26 19:48:30 CEST,313,14.7,28.2,24.3,100178,88.8,1
2019-09-26 19:49:27 CEST,314,14.7,28.4,24,100179,88.77,1
2019-09-26 19:50:24 CEST,315,14.5,27.2,23.7,100180,88.77,1
2019-09-26 19:51:20 CEST,316,14.4,26.1,23.5,100183,88.77,1
2019-09-26 19:52:18 CEST,317,14.4,25.7,31.4,100204,88.77,1
2019-09-26 19:53:15 CEST,318,14.4,26.4,25,100198,88.77,1
2019-09-26 19:54:12 CEST,319,14.5,26.4,24.1,100184,88.77,1
2019-09-26 19:55:09 CEST,320,14.3,26.3,23.6,100185,88.77,1
2019-09-26 19:56:06 CEST,321,14.2,26.4,23.4,100189,88.71,1
2019-09-26 19:57:03 CEST,322,14.1,26.7,23.4,100182,88.71,1
2019-09-26 19:58:00 CEST,323,14.2,26.7,23.5,100189,88.71,1
2019-09-26 19:58:57 CEST,324,14.3,26.4,23.5,100191,88.71,1
2019-09-26 19:59:54 CEST,325,14.4,27.3,23.6,100189,88.71,1
2019-09-26 20:00:51 CEST,326,14.5,27.2,23.6,100200,88.71,1
2019-09-26 20:01:48 CEST,327,14.5,27.3,23.6,100185,88.66,1
2019-09-26 20:02:45 CEST,328,14.5,27.1,23.6,100189,88.66,1
2019-09-26 20:03:42 CEST,329,14.4,27.1,23.6,100182,88.66,1
2019-09-26 20:04:39 CEST,330,14.5,27.8,23.7,100179,88.66,1
2019-09-26 20:05:36 CEST,331,14.5,27.5,23.7,100194,88.66,1
2019-09-26 20:06:33 CEST,332,14.5,27.1,23.7,100189,88.66,1
2019-09-26 20:07:30 CEST,333,14.5,26.5,23.7,100183,88.66,1
2019-09-26 20:08:27 CEST,334,14.4,26.4,23.6,100189,88.59,1
2019-09-26 20:09:24 CEST,335,14.3,26.9,23.6,100188,88.59,1
2019-09-26 20:10:21 CEST,336,14.3,26.6,23.5,100188,88.59,1
2019-09-26 20:11:18 CEST,337,14.2,26.5,23.5,100198,88.59,1
2019-09-26 20:12:15 CEST,338,14.2,26.5,23.5,100198,88.59,1
2019-09-26 20:13:12 CEST,339,14.2,27.4,23.4,100189,88.59,1
2019-09-26 20:14:10 CEST,340,14,26.7,23.5,100192,88.59,1
2019-09-26 20:15:07 CEST,341,14,26.3,23.4,100194,88.51,1
2019-09-26 20:16:04 CEST,342,13.9,26.2,23.4,100192,88.51,1
2019-09-26 20:17:01 CEST,343,13.9,26.7,23.4,100191,88.51,1
2019-09-26 20:17:58 CEST,344,13.9,27,23.3,100200,88.51,1
2019-09-26 20:18:55 CEST,345,13.9,27,23.3,100203,88.51,1
2019-09-26 20:19:52 CEST,346,13.9,27.4,23.4,100201,88.51,1
2019-09-26 20:20:49 CEST,347,14,28.2,23.3,100207,88.51,1
2019-09-26 20:21:46 CEST,348,13.8,27.4,23.4,100204,88.51,1
2019-09-26 20:22:43 CEST,349,13.7,28.3,23.3,100203,88.47,1
2019-09-26 20:23:40 CEST,350,13.9,28.7,23.3,100210,88.47,1
2019-09-26 20:24:37 CEST,351,13.8,28.3,23.4,100215,88.47,1
2019-09-26 20:25:34 CEST,352,13.9,27.9,23.4,100209,88.47,1
